date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:28	37/37	---M--	200	added ('OK')	text/plain	etag:%2228a9fd4ddb6cf1:0%22	http://intranet.tatanykshipping.com/robots.txt		(from )
03:29:30	9475/9475	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Oct%202021%2007:29:27%20GMT	http://intranet.tatanykshipping.com/	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/index.html	(from )
03:29:30	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225234d4845f37ce1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/Images/favicon.ico	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/Images/favicon.ico	(from http://intranet.tatanykshipping.com/)
03:29:33	8490/8490	---M--	200	added ('OK')	text/css	etag:%2213c4b969b5cd01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/Admin.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/Admin.css	(from http://intranet.tatanykshipping.com/)
03:29:35	4756/4756	---M--	200	added ('OK')	text/css	etag:%22a1eb2090d4ed01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/chat-message.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/chat-message.css	(from http://intranet.tatanykshipping.com/)
03:29:37	13421/13421	---M--	200	added ('OK')	text/css	etag:%22032852ce5fd01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/chosen.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/chosen.css	(from http://intranet.tatanykshipping.com/)
03:29:39	97124/97124	---M--	200	added ('OK')	application/javascript	etag:%220af908cbfecd1:0%22	http://intranet.tatanykshipping.com/Scripts/jquery.min.js	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/Scripts/jquery.min.js	(from http://intranet.tatanykshipping.com/)
03:29:39	2451/2451	---M--	200	added ('OK')	text/css	etag:%220749537e139cf1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/confirm.popup.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/confirm.popup.css	(from http://intranet.tatanykshipping.com/)
03:29:41	20491/20491	---M--	200	added ('OK')	text/css	etag:%22223ff8de481cd01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/Controls.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/Controls.css	(from http://intranet.tatanykshipping.com/)
03:29:41	11662/11662	---M--	200	added ('OK')	text/css	etag:%2204bdf3727fbce1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/fullcalendar.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/fullcalendar.css	(from http://intranet.tatanykshipping.com/)
03:29:41	1337/1337	---M--	200	added ('OK')	text/css	etag:%220cb21cf4e4cc1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/fullcalendar.print.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/fullcalendar.print.css	(from http://intranet.tatanykshipping.com/)
03:29:42	3158/3158	---M--	200	added ('OK')	text/css	etag:%225e4157660b0d31:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/it-support-survey.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/it-support-survey.css	(from http://intranet.tatanykshipping.com/)
03:29:44	34248/34248	---M--	200	added ('OK')	text/css	etag:%220f83e481efbce1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/jquery-ui.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/jquery-ui.css	(from http://intranet.tatanykshipping.com/)
03:29:45	27090/27090	---M--	200	added ('OK')	text/css	etag:%220a6f04b70bece1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/jquery-ui.min.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/jquery-ui.min.css	(from http://intranet.tatanykshipping.com/)
03:29:47	23389/23389	---M--	200	added ('OK')	text/css	etag:%22c88c1f955aacf1:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/jquery-ui-1.8.19.custom.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/jquery-ui-1.8.19.custom.css	(from http://intranet.tatanykshipping.com/)
03:29:49	12984/12984	---M--	200	added ('OK')	text/css	etag:%2206f60f54082d01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/MultiSelectDropdown/chosen.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/MultiSelectDropdown/chosen.css	(from http://intranet.tatanykshipping.com/)
03:29:49	2454/2454	---M--	200	added ('OK')	text/css	etag:%2256bbc317c31ad01:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/project-wizard-header.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/project-wizard-header.css	(from http://intranet.tatanykshipping.com/)
03:29:51	42488/42488	---M--	200	added ('OK')	text/css	etag:%2269653bf63dcd11:0%22	http://intranet.tatanykshipping.com/App_Themes/Default/Style.css	/home/kali/websites/IntranetTATANYK/intranet.tatanykshipping.com/App_Themes/Default/Style.css	(from http://intranet.tatanykshipping.com/)
